N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"69,500",700,-1.00%,100,"4,148,999","5,969,783",51.84,"10,083,854",12.03,13.92,
2,LG에너지솔루션,"359,500","4,000",-1.10%,500,"841,230","234,000",2.97,"1,049,227",90.71,10.68,
3,SK하이닉스,"112,500","3,500",-3.02%,"5,000","819,003","728,002",50.40,"3,537,181",10.17,9.53,
4,NAVER,"327,500","1,500",-0.46%,100,"537,261","164,049",54.68,"609,874",3.26,106.72,
5,삼성바이오로직스,"811,000","12,000",+1.50%,"2,500","536,598","66,165",10.52,"58,132",137.97,8.21,
6,삼성전자우,"63,000",100,-0.16%,100,"518,419","822,887",74.08,"690,457",10.91,N/A,
7,카카오,"103,000",500,-0.48%,100,"459,507","446,123",28.47,"1,765,832",40.55,2.70,
8,현대차,"163,000","1,500",-0.91%,"5,000","348,279","213,668",26.33,"873,121",9.13,6.84,
9,삼성SDI,"487,000","4,000",-0.81%,"5,000","334,883","68,765",43.47,"267,771",29.30,8.45,
10,LG화학,"439,000","18,000",-3.94%,"5,000","309,900","70,592",48.56,"670,157",9.36,18.47,
11,기아,"69,200",400,+0.58%,"5,000","280,511","405,363",34.59,"1,060,772",6.27,5.05,
12,카카오뱅크,"52,500","2,700",+5.42%,"5,000","249,459","475,159",16.23,"2,824,681",169.90,5.08,
13,셀트리온,"180,000",500,-0.28%,"1,000","248,320","137,956",20.21,"575,606",44.00,15.81,
14,POSCO,"282,000","5,000",-1.74%,"5,000","245,867","87,187",53.14,"230,419",3.72,13.97,
15,KB금융,"56,700",900,+1.61%,"5,000","233,804","412,352",72.28,"1,850,129",5.42,8.53,
16,삼성물산,"113,500","1,000",-0.87%,100,"212,117","186,887",15.94,"205,979",13.09,5.40,
17,LG전자,"123,000","1,000",+0.82%,"5,000","201,287","163,648",28.37,"748,689",17.75,13.23,
18,신한지주,"37,900",250,+0.66%,"5,000","195,791","516,600",62.08,"1,421,879",5.03,8.20,
19,현대모비스,"204,500","1,000",-0.49%,"5,000","193,402","94,573",34.26,"200,311",8.24,6.87,
20,카카오페이,"138,000","2,000",+1.47%,500,"182,393","132,169",42.53,"166,999",-686.57,-17.97,
21,SK이노베이션,"191,500","4,000",-2.05%,"5,000","177,072","92,466",23.17,"310,961",58.92,1.91,
22,SK,"233,500","4,000",-1.68%,200,"173,139","74,149",21.53,"95,957",27.29,1.11,
23,한국전력,"24,500",50,-0.20%,"5,000","157,281","641,964",14.85,"1,731,412",-14.44,2.91,
24,HMM,"31,800","2,700",-7.83%,"5,000","155,515","489,039",12.44,"9,930,750",4.01,8.93,
25,하나금융지주,"47,450","1,050",+2.26%,"5,000","142,465","300,242",70.93,"1,608,120",4.43,8.96,
26,크래프톤,"277,500","3,500",-1.25%,100,"136,175","49,072",29.61,"113,205",21.75,61.86,
27,두산중공업,"22,300","1,050",-4.50%,"5,000","134,944","605,128",8.32,"12,352,584",67.17,-37.20,
28,LG생활건강,"832,000","9,000",-1.07%,"5,000","129,943","15,618",41.19,"79,578",17.46,16.65,
29,SK텔레콤,"57,800","1,500",-2.53%,100,"126,486","218,833",45.64,"524,709",8.45,13.63,
30,삼성생명,"59,800",200,-0.33%,500,"119,600","200,000",12.62,"192,403",7.65,3.53,
31,하이브,"273,000","12,000",-4.21%,500,"112,895","41,353",15.11,"210,971",97.12,12.52,
32,삼성전기,"151,000","1,000",-0.66%,"5,000","112,787","74,694",29.17,"356,237",13.13,14.29,
33,KT&G,"81,300",0,0.00%,"5,000","111,619","137,292",36.86,"246,817",9.37,13.22,
34,LG,"70,900","1,500",-2.07%,"5,000","111,526","157,301",36.38,"286,218",4.68,7.50,
35,고려아연,"583,000","7,000",-1.19%,"5,000","110,012","18,870",19.09,"66,531",14.58,8.37,
36,삼성에스디에스,"137,500","1,500",-1.08%,500,"106,394","77,378",11.41,"66,320",17.41,8.80,
37,우리금융지주,"14,450",200,+1.40%,"5,000","105,205","728,061",34.30,"2,548,868",4.42,5.87,
38,SK바이오사이언스,"136,000","11,000",-7.48%,500,"104,040","76,500",5.21,"677,881",52.37,13.25,
39,대한항공,"29,250",550,+1.92%,"5,000","101,738","347,821",12.11,"2,605,495",13.74,-7.22,
40,현대중공업,"109,500","4,000",-3.52%,"5,000","97,207","88,773",2.69,"216,926",-11.95,-7.86,
41,엔씨소프트,"440,000","4,500",-1.01%,500,"96,598","21,954",42.81,"105,521",27.17,20.83,
42,넷마블,"109,500","3,500",+3.30%,100,"94,119","85,954",22.86,"232,500",40.50,6.35,
43,S-Oil,"82,600","2,900",-3.39%,"2,500","92,993","112,583",78.21,"363,352",7.95,-13.07,
44,아모레퍼시픽,"153,500",500,-0.32%,500,"89,786","58,493",29.38,"363,673",59.20,0.78,
45,삼성화재,"183,000","1,500",-0.81%,500,"86,696","47,375",48.52,"79,300",7.91,4.96,
46,KT,"33,100",300,+0.91%,"5,000","86,428","261,112",39.93,"1,319,389",6.37,9.36,
47,LG이노텍,"341,000","1,500",+0.44%,"5,000","80,705","23,667",23.37,"284,781",9.09,30.94,
48,기업은행,"10,450",100,-0.95%,"5,000","77,779","744,301",14.07,"1,536,858",3.87,6.44,
49,SK아이이테크놀로지,"105,500","3,000",-2.76%,"1,000","75,219","71,298",9.67,"362,053",75.74,5.57,
50,포스코케미칼,"96,600","2,300",-2.33%,500,"74,829","77,463",6.14,"368,813",54.79,7.92,
